,heading,source_file,No / Driver,Competitor,Time,Session,Fact,Offence,Decision,Reason,Emanuele Pirro,Loic Bacquelaine,Eric Cowcill,Danny Sullivan,Tom Kristensen,Yannick Dalmas,Jose Abed,Eric Barrabino,Total_Fine,Suspended_Fine,Actual_Fine
2,2021 ABU DHABI GRAND PRIX              ,2021%20Abu%20Dhabi%20Grand%20Prix%20-%20Offence%20-%20Car%2031%20-%20Impeding%20Car%205%20in%20turn%2016.pdf,31 - Esteban Ocon                                                 ,Alpine F1 Team                                                    ,17:08                                                             ,Qualifying                                                        ,Impeding of Car 5 by Car 31 in Turn 16.                           ,Breach of Article 31.5 of the FIA Formula One Sporting Regulations.,Reprimand for the driver                                          ,"The Stewards heard from the driver of Car 31 (Esteban Ocon), the driver of Car 5",,,,,,,,,10000.0,0,10000.0
3,2021 ABU DHABI GRAND PRIX              ,2021%20Abu%20Dhabi%20Grand%20Prix%20-%20Offence%20-%20Car%205%20-%20Pit%20lane%20speeding%20%28P2%202nd%29.pdf,5 - Sebastian Vettel                                              ,Aston Martin Cognizant F1 Team                                    ,17:41                                                             ,Practice 2                                                        ,Pit Lane Speeding – 81.1 km/h                                     ,Breach of Article 22.10 of the FIA Formula One Sporting Regulations.,The competitor (Aston Martin Cognizant F1 Team) is fined €200     ,Car 5 exceeded the pit lane speed limit which is set at 80 km/h for this Event by 1.1,,,,,,,,,200.0,0,200.0
4,2021 ABU DHABI GRAND PRIX              ,2021%20Abu%20Dhabi%20Grand%20Prix%20-%20Offence%20-%20Car%205%20-%20Pit%20lane%20speeding.pdf,5 - Sebastian Vettel                                              ,Aston Martin Cognizant F1 Team                                    ,17:23                                                             ,Practice 2                                                        ,Pit Lane Speeding – 81.5 km/h                                     ,Breach of Article 22.10 of the FIA Formula One Sporting Regulations.,The competitor (Aston Martin Cognizant F1 Team) is fined €200.    ,Car 5 exceeded the pit lane speed limit which is set at 80 km/h for this Event by 1.5,,,,,,,,,200.0,0,200.0
29,2021 AUSTRIAN GRAND PRIX             ,2021%20Austrian%20Grand%20Prix%20-%20Offence%20-%20Car%2031%20-%20Pit%20lane%20speeding.pdf,31 - Esteban Ocon                                                 ,Alpine F1 Team                                                    ,12:55                                                             ,Practice 3                                                        ,Pit Lane Speeding – 83.5 km/h                                     ,Breach of Article 22.10 of the FIA Formula One Sporting Regulations.,The competitor (Alpine F1 Team) is fined €400                     ,Car 31 exceeded the pit lane speed limit which is set at 80 km/h for this Event by 3.5,,,,,,,,,400.0,0,400.0
33,2021 AUSTRIAN GRAND PRIX             ,2021%20Austrian%20Grand%20Prix%20-%20Offence%20-%20Car%207%20-%20Pit%20lane%20speeding.pdf,7 - Kimi Raikkonen                                                ,Alfa Romeo Racing ORLEN                                           ,15:41                                                             ,Practice 2                                                        ,Pit Lane Speeding – 88.5 km/h                                     ,Breach of Article 22.10 of the FIA Formula One Sporting Regulations.,The competitor (Alfa Romeo Racing ORLEN) is fined €900.           ,Car 7 exceeded the pit lane speed limit which is set at 80 km/h for this Event by 8.5,,,,,,,,,900.0,0,900.0
52,2021 AZERBAIJAN GRAND PRIX              ,2021%20Azerbaijan%20Grand%20Prix%20-%20Offence%20-%20Car%2011%20-%20Pit%20lane%20speeding.pdf,11 - Sergio Perez                                                 ,Red Bull Racing Honda                                             ,17:03                                                             ,Practice 2                                                        ,Pit Lane Speeding – 81.7 km/h                                     ,Breach of Article 22.10 of the FIA Formula One Sporting Regulations.,The competitor (Red Bull Racing Honda) is fined €200.             ,Car 11 exceeded the pit lane speed limit which is set at 80 km/h for this Event by 1.7,,,,,,,,,200.0,0,200.0
65,2021 BRAZILIAN GRAND PRIX             ,2021%20Brazilian%20Grand%20Prix%20-%20Offence%20-%20Car%2033.pdf,33 - Max Verstappen                                               ,Red Bull Racing Honda                                             ,17:02                                                             ,Qualifying                                                        ,The driver touched and examined the rear wing of car 33 and car 44 in Parc Fermé.,Breach of Article 2.5.1 of the FIA International Sporting Code.   ,"The driver is fined €50,000                                       ",The Stewards heard from the driver of car 33 (Max Verstappen) and team,,,,,,,,,50000.0,0,50000.0
68,2021 BRAZILIAN GRAND PRIX             ,2021%20Brazilian%20Grand%20Prix%20-%20Offence%20-%20Car%2044%20-%20Safety%20Belts.pdf,44 - Lewis Hamilton                                               ,Mercedes-AMG Petronas F1 Team                                     ,15:36                                                             ,Race                                                              ,Undid safety belts while in motion on the track.                  ,Breach of Appendix L Chapter III Article 4 of the FIA International Sporting Code.,"The driver is fined €5,000 with an additional €20,000 which is suspended through the",The Stewards heard from the team representative and reviewed video evidence.,,,,,,,,,5000.0,20000,-15000.0
101,2021 EMILIA ROMAGNA GRAND PRIX                 ,2021%20Emilia%20Romagna%20Grand%20Prix%20-%20Offence%20-%20Car%2018%20-%20Pit%20lane%20Speeding.pdf,18 - Lance Stroll                                                 ,Aston Martin Cognizant F1 Team                                    ,14:44                                                             ,Qualifying                                                        ,Pit Lane Speeding – 85.1 km/h                                     ,Breach of Article 22.10 of the FIA Formula One Sporting Regulations.,The competitor (Aston Martin Cognizant F1 Team) is fined €600.    ,Car 18 exceeded the pit lane speed limit which is set at 80 km/h for this Event by 5.1,,,,,sen      Iacopo Arcangeli                                         ,,,,600.0,0,600.0
103,2021 EMILIA ROMAGNA GRAND PRIX                 ,2021%20Emilia%20Romagna%20Grand%20Prix%20-%20Offence%20-%20Car%2022%20-%20Pit%20lane%20speeding.pdf,22 - Yuki Tsunoda                                                 ,Scuderia AlphaTauri Honda                                         ,11:45                                                             ,Practice 3                                                        ,Pit Lane Speeding – 82.4 km/h                                     ,Breach of Article 22.10 of the FIA Formula One Sporting Regulations.,The competitor (Scuderia AlphaTauri Honda) is fined €300.         ,Car 22 exceeded the pit lane speed limit which is set at 80 km/h for this Event by 2.4,,,,,sen      Iacopo Arcangeli                                         ,,,,300.0,0,300.0
